spol,spol_starša,izob_matere,izob_očeta,število,izpolnjeval,vključen,status_matere,status_očeta,jezik,OPP,drugo,age_in_months,starost_vkljucitev,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1,0,2,2,5.0,2,da,3,3,7,1,"Smiselno in eko bi bilo uporabiti e-vprašalnik. Vprašanja so na nivoju, po vprašalniku pa ostane vse nespremenjeno, ker niso zastavljena v duhu sprememb. Strinjam se, da spremembe in odkrivanje tople vode ni potrebno, vključno s takim vprašalnikom in podobnimi (kako si otrok želi v šolo - kolo,...), ker je toliko omejitev za realizacijo. Otrokom naj se v garderobah in seznamih vrne imena in naj ne bodo znakci.",85.0,29.0,1.1428571428571428,0.375,1.1428571428571428,0.2,1.25,1.5,-0.25,1.3333333333333333,1.7142857142857142,1.3333333333333333
0,1,2,1,4.0,1,da,3,3,7,1,,85.0,16.0,2.0,1.625,2.0,1.8,2.0,2.0,2.0,2.0,2.0,1.75
0,1,1,0,3.0,1,da,2,3,7,1,,88.0,13.0,2.0,2.0,1.5714285714285714,2.0,2.0,2.0,1.75,2.0,1.8571428571428568,1.8333333333333333
0,1,2,1,4.0,0,da,3,3,7,1,,86.0,30.0,1.4285714285714286,1.375,1.7142857142857142,1.4,1.625,2.0,0.0,1.3333333333333333,1.7142857142857142,0.5
0,1,1,2,4.0,1,da,3,3,7,1,,92.0,11.0,2.0,1.75,1.7142857142857142,1.2,1.75,2.0,1.0,1.8333333333333333,1.4285714285714286,0.9166666666666666
0,1,2,1,3.0,0,da,3,3,7,1,,90.0,22.0,2.0,1.25,1.7142857142857142,1.6,2.0,1.25,1.5,1.0,1.1428571428571428,1.0833333333333333
1,1,3,1,4.0,1,da,3,3,7,1,V19 - preveč splošnoin ni navedeno na katero vgojiteljico se nanašajo vpršanja?,87.0,30.0,1.4285714285714286,1.25,-0.4285714285714285,0.0,0.375,1.75,-1.0,-0.3333333333333333,0.5714285714285714,0.3333333333333333
1,1,1,1,4.0,1,da,3,3,7,1,,88.0,13.0,1.8571428571428568,0.375,0.0,0.0,0.5,0.25,0.0,0.0,0.7142857142857143,0.4166666666666667
1,1,2,1,3.0,0,da,3,1,7,1,,89.0,15.0,1.2142857142857142,0.25,1.0,0.2,0.875,1.0,0.5,0.1666666666666666,0.8571428571428571,1.3333333333333333
0,1,2,2,5.0,1,da,3,3,7,1,,86.0,57.0,2.0,1.25,0.8571428571428571,0.6,0.625,1.0,0.5,0.5,1.1428571428571428,0.5833333333333334
0,1,2,2,4.0,0,da,3,3,7,1,,90.0,22.0,1.7142857142857142,1.25,1.4285714285714286,1.2,1.625,1.75,-0.5,1.1666666666666667,1.2857142857142858,1.5833333333333333
1,1,3,3,5.0,1,da,3,3,7,1,,83.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,1.7142857142857142,0.75
0,1,3,3,5.0,2,da,3,3,7,1,,83.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,1.7142857142857142,0.75
1,1,2,1,5.0,1,da,3,3,7,1,,85.0,16.0,1.8571428571428568,2.0,0.5714285714285714,1.0,1.25,1.0,0.5,1.1666666666666667,2.0,0.5833333333333334
